id,pair_id,user_id,q1,algorithm,diff_fat,correct_answer,answer,gain
2683,5970,13e88c6bd1a418a67c2de5a45fd19aa0,recipe_1,top10,-6.54265,1,1,1
2684,5910,13e88c6bd1a418a67c2de5a45fd19aa0,recipe_1,images,-16.7915,1,1,1
2685,6629,13e88c6bd1a418a67c2de5a45fd19aa0,recipe_1,top10,-17.6358,1,1,1
2686,13635,13e88c6bd1a418a67c2de5a45fd19aa0,recipe_1,top10,6.17723,2,1,0
2687,5833,13e88c6bd1a418a67c2de5a45fd19aa0,recipe_2,top10,-9.12594,1,2,0
2688,7302,13e88c6bd1a418a67c2de5a45fd19aa0,recipe_2,images,7.98187,2,2,1
2689,221,13e88c6bd1a418a67c2de5a45fd19aa0,recipe_2,top10,-22.4079,1,2,0
2690,14335,13e88c6bd1a418a67c2de5a45fd19aa0,recipe_2,top10,5.96259,2,2,1
2691,12628,13e88c6bd1a418a67c2de5a45fd19aa0,recipe_1,top10,8.4602,2,1,0
2707,7671,00fe0405ceff4d01fad56418e1da12e5,recipe_2,images,7.00521,2,2,1
2708,12628,00fe0405ceff4d01fad56418e1da12e5,recipe_1,top10,8.4602,2,1,0
2709,11438,00fe0405ceff4d01fad56418e1da12e5,recipe_1,images,7.51731,2,1,0
2710,11465,00fe0405ceff4d01fad56418e1da12e5,recipe_2,top10,8.80632,2,2,1
2711,5910,00fe0405ceff4d01fad56418e1da12e5,recipe_2,images,-16.7915,1,2,0
2712,5833,00fe0405ceff4d01fad56418e1da12e5,recipe_2,top10,-9.12594,1,2,0
2713,9872,00fe0405ceff4d01fad56418e1da12e5,recipe_2,top10,8.6591,2,2,1
2714,5006,00fe0405ceff4d01fad56418e1da12e5,recipe_2,images,-5.7318,1,2,0
2715,10176,00fe0405ceff4d01fad56418e1da12e5,recipe_2,top10,5.68524,2,2,1
2716,4555,00fe0405ceff4d01fad56418e1da12e5,recipe_1,images,-5.67558,1,1,1
2717,12211,00fe0405ceff4d01fad56418e1da12e5,recipe_2,images,10.1655,2,2,1
2718,12470,00fe0405ceff4d01fad56418e1da12e5,recipe_1,top10,6.55463,2,1,0
2719,2528,00fe0405ceff4d01fad56418e1da12e5,recipe_1,images,-6.39215,1,1,1
2720,13342,00fe0405ceff4d01fad56418e1da12e5,recipe_1,top10,7.94316,2,1,0
2721,14549,00fe0405ceff4d01fad56418e1da12e5,recipe_1,images,7.11652,2,1,0
2722,6269,00fe0405ceff4d01fad56418e1da12e5,recipe_2,top10,-8.77411,1,2,0
2723,5006,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_1,images,-5.7318,1,1,1
2724,14335,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_1,top10,5.96259,2,1,0
2725,7674,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_2,images,8.89186,2,2,1
2726,3577,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_2,images,-8.43872,1,2,0
2728,9872,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_1,top10,8.6591,2,1,0
2730,11772,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_2,top10,8.70904,2,2,1
2732,6629,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_1,top10,-17.6358,1,1,1
2733,2035,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_1,top10,-8.37872,1,1,1
2735,4030,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_2,top10,-11.0786,1,2,0
2737,13635,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_1,top10,6.17723,2,1,0
2739,11465,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_2,top10,8.80632,2,2,1
2741,8672,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_2,images,14.596,2,2,1
2743,2735,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_2,top10,-5.60294,1,2,0
2744,8529,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_2,images,7.92281,2,2,1
2746,4555,4d79ef5ced6dac3cab61bad8172e7eb3,recipe_1,images,-5.67558,1,1,1
